name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Haydn Fleury,4,0.19933018334231753,4,0.001761108636856079,0.19756907470546145,DSS
Henri Jokiharju,2,0.11286583544374668,2,0.0017627067863941193,0.11110312865735256,DSS
Hudson Fasching,4,0.10707490135430464,4,0.002194160595536232,0.10488074075876841,DSS
Igor Shesterkin,1,0.11286583544374668,1,0.0028250887989997864,0.11004074664474689,DSS
Ilya Samsonov,1,0.1012839672648626,1,0.0026290491223335266,0.09865491814252908,DSS
Ilya Sorokin,2,0.11286583544374672,2,0.002922315150499344,0.10994352029324737,DSS
Isaiah George,2,0.10128396726486262,2,0.0024621523916721344,0.09882181487319049,DSS
Isak Rosen,2,0.10128396726486258,2,0.002136874943971634,0.09914709232089094,DSS
Ivan Fedotov,2,0.1012839672648626,2,0.0025530606508255005,0.0987309066140371,DSS
J.T. Compher,2,0.25922094141522606,2,0.0015628896653652191,0.25765805174986084,DSS
J.T. Miller,2,0.41288778773185975,2,0.5066822469234467,-0.09379445919158691,RF
JJ Peterka,2,0.69312127439288,2,0.4870082214474678,0.20611305294541216,DSS
Jaccob Slavin,3,0.18536242737232989,3,0.007050904134909312,0.17831152323742058,DSS
Jack Eichel,2,0.10707490135430467,2,0.008191779255867004,0.09888312209843766,DSS
Jack Finley,2,0.1012839672648626,2,0.0007027573883533478,0.10058120987650926,DSS
Jack Hughes,6,0.5208045496066458,6,0.5557222763697306,-0.0349177267630848,RF
Jack Johnson,2,0.1012839672648626,2,0.0022718124091625214,0.09901215485570009,DSS
Jack McBain,3,0.186669064767631,3,0.0009698321421941122,0.1856992326254369,DSS
Jack Quinn,2,1.0,2,0.9999640583992004,3.594160079956055e-05,DSS
Jack Roslovic,7,0.21140097882406156,7,0.004791287971394402,0.20660969085266714,DSS
Jack St. Ivany,1,0.11286583544374665,1,0.0028943121433258057,0.10997152330042084,DSS
Jackson Blake,4,0.3612962752237753,4,0.2669192748144269,0.09437700040934838,DSS
Jacob Bengtsson,2,0.11286583544374666,2,0.0006666071712970734,0.11219922827244959,DSS
Jacob Bernard-Docker,4,0.15291263189168147,4,0.005228113383054733,0.14768451850862674,DSS
Jacob Bryson,2,0.1012839672648626,2,0.0028082504868507385,0.09847571677801187,DSS
Jacob Markstrom,1,0.1128658354437467,1,0.0029410868883132935,0.10992474855543341,DSS
Jacob Moverare,2,0.2053953953826757,2,0.015669459477066994,0.1897259359056087,DSS
Jacob Quillan,2,0.11286583544374665,2,0.0023598037660121918,0.11050603167773446,DSS
Jaden Schwartz,2,0.5649314118317555,2,0.5739248394966125,-0.008993427664857001,RF
Jake Allen,4,0.10997036839902569,4,0.0027343984693288803,0.1072359699296968,DSS
Jake Christiansen,4,0.10707490135430464,4,0.0027283430099487305,0.10434655834435591,DSS
Jake DeBrusk,4,0.238894333904713,4,0.23728434089571238,0.0016099930090006376,DSS
Jake Evans,2,0.3950065416068565,2,0.02485497295856476,0.37015156864829174,DSS
Jake Guentzel,2,1.4878334705569294,2,1.0450196266174316,0.44281384393949774,DSS
