name,n_test,mae
Elias Salomonsson,5,0.0823822736116496
Elmer Soderblom,15,0.1944745433243945
Elvis Merzlikins,32,0.12448797525149034
Emil Andrae,20,0.37486182513680444
Emil Bemstrom,9,0.1930009779741536
Emil Heineman,32,0.19216638219677196
Emil Lilleberg,33,0.22587806374527294
Eric Comrie,35,0.08429804167946527
Eric Robinson,36,0.40255689912226944
Erik Brannstrom,16,0.3055166777427777
Erik Cernak,33,0.17407762605615748
Erik Gudbranson,8,0.2352031933360996
Erik Gustafsson,32,0.12549215992220875
Erik Haula,31,0.26725727242803204
Erik Johnson,34,0.23557785206325116
Erik Karlsson,33,0.4037832876145542
Erik Portillo,2,0.0872587741479077
Esa Lindell,35,0.2127121206389196
Ethan Bear,4,0.08116314847758505
Ethan Cardwell,5,0.17131529057918876
Ethan Del Mastro,13,0.1803347114567359
Ethen Frank,20,0.2532224370727185
Evan Bouchard,36,0.5980753181704682
Evan Rodrigues,36,0.29684024614915316
Evander Kane,4,0.5366285687969845
Evgeni Malkin,31,0.493727252513651
Evgenii Dadonov,35,0.41964501687649713
Fabian Lysell,7,0.2660044505923442
Fabian Zetterlund,36,0.2809528858390494
Fedor Svechkov,21,0.31086627869323147
Felix Unger-Sorum,1,3.0
Filip Chytil,30,0.11901321964955162
Filip Forsberg,32,0.5103498481816071
Filip Gustavsson,33,0.14498754260855848
Filip Hronek,25,0.46109948156628117
Filip Kral,2,0.08725877414790771
Fisher Scott,2,0.08116314847758506
Frank Nazar,22,0.5430185176253122
Frank Vatrano,32,0.5019851904744861
Fraser Minten,11,0.2194262481619168
Frederick Gaudreau,34,0.29627574775843657
Frederik Andersen,35,0.1107564390538394
Fyodor Avramov,1,0.08116314847758503
Gabriel Landeskog,3,0.16493393928824535
Gabriel Perreault,4,0.08421096131274639
Gabriel Seger,2,0.08116314847758507
Gabriel Vilardi,36,0.30214967522549413
Gage Goncalves,26,0.4660910370968948
Garnet Hathaway,32,0.2002050372962311
Georgi Merkulov,3,0.13745206928568066
Georgi Romanov,8,0.08268705489516574
Givani Smith,16,0.08344900810395606
Gleb Trikozov,1,0.0011842949923079882
Grant Hutton,9,0.31350416632410866
Guillaume Brisebois,5,0.08603964901384319
Gustav Forsling,36,0.24304458191932252
Gustav Nyquist,34,0.24184281191066126
Gustav Olofsson,6,0.08522689892446683
Hampus Lindholm,8,0.3260377015862268
Hayden Hodgson,5,0.08482052387977863
Haydn Fleury,32,0.27136827579917233
Helge Grans,3,0.13745206928568068
Hendrix Lapierre,14,0.3046153140575357
Henri Jokiharju,31,0.2879807730084912
Henry Thrun,31,0.29067127209106863
Hudson Fasching,25,0.24428048198713803
Hunter Haight,2,0.08116314847758505
Hunter Johannes,2,0.08116314847758506
Hunter Shepard,4,0.08421096131274639
Ian Cole,32,0.21636415414951216
Ian Mitchell,9,0.19508063458503427
Ian Moore,2,0.4600105732573614
Igor Shesterkin,30,0.08400777379040231
Ilya Lyubushkin,35,0.31369423411590874
Ilya Mikheyev,32,0.3502212401699666
Ilya Samsonov,35,0.11237198440160197
Ilya Solovyov,3,0.12092260377653034
Ilya Sorokin,31,0.18684339881869855
Isaac Poulter,4,0.08421096131274639
Isaak Phillips,8,0.08421096131274641
Isac Lundestrom,32,0.21924539859615036
Isaiah George,14,0.2736881994786998
Isak Rosen,6,0.24159942549842342
Ivan Barbashev,34,0.29924521215788247
Ivan Demidov,4,0.6178626282805628
Ivan Fedotov,32,0.08382998470835122
Ivan Ivan,16,0.18847417970646893
Ivan Miroshnichenko,9,0.22799842927114364
Ivan Provorov,32,0.34704334011604443
J.J. Moser,13,0.21967875550159496
J.T. Compher,32,0.30374443600001244
J.T. Miller,29,0.6023909447465196
JJ Peterka,32,0.50759472820603
Jaccob Slavin,36,0.3289784047870493
Jack Ahcan,2,0.08116314847758506
Jack Drury,34,0.26554741739135934
Jack Eichel,36,0.4600598191264544
Jack Finley,1,0.08116314847758506
Jack Hughes,24,0.5703067871435055
Jack Johnson,32,0.24206747870328604
Jack McBain,32,0.29403940441889564
Jack Phelan,2,0.08116314847758505
Jack Quinn,32,0.5197441115400644
Jack Roslovic,36,0.4365212634780133
Jack St. Ivany,12,0.1665654270175921
Jack Thompson,20,0.3909597972970088
Jack Williams,5,0.08360139874571412
Jackson Blake,36,0.4229139405176217
Jackson LaCombe,32,0.3006916368959929
Jacob Bernard-Docker,26,0.33578239675304256
Jacob Bryson,32,0.2597018278649084
Jacob Gaucher,2,0.08725877414790773
Jacob Markstrom,31,0.08450591094195556
Jacob Middleton,30,0.3052119414427222
Jacob Moverare,26,0.24624586109441718
Jacob Quillan,4,0.08116314847758506
Jacob Trouba,32,0.31917522278553334
Jaden Schwartz,31,0.4573675624905274
Jake Allen,33,0.08467275113625566
Jake Bean,32,0.27410434354795626
Jake Christiansen,32,0.26752231487086114
Jake DeBrusk,32,0.4557409759669083
Jake Evans,34,0.30493042967116757
Jake Guentzel,33,0.5002327982303454
Jake Leschyshyn,2,0.08116314847758506
Jake Livingstone,2,0.08725877414790773
Jake Lucchini,2,0.08725877414790767
Jake McCabe,34,0.30598717539095144
Jake Neighbours,34,0.49617209910395227
Jake Oettinger,35,0.11145308198759056
Jake Sanderson,34,0.5266229167568932
Jake Walman,36,0.3412842157693176
Jakob Chychrun,34,0.4264145747172949
Jakob Pelletier,21,0.27498385929386276
Jakub Dobes,20,0.08421096131274637
Jakub Lauko,23,0.2035063048815805
Jakub Rychlovsky,2,0.08116314847758507
Jakub Skarek,6,0.08319502370102594
Jakub Vrana,32,0.22208740231296611
Jalen Chatfield,36,0.31422902467952274
James Hamblin,3,0.08725877414790773
James Malatesta,2,0.20580097267584613
James Reimer,31,0.08391601168353723
James van Riemsdyk,32,0.3986073476253422
Jamie Benn,35,0.3398055351013992
Jamie Drysdale,28,0.2111725867405904
Jamie Oleksiak,31,0.3459681247858371
Jan Jenik,3,0.08319502370102595
Jan Rutta,22,0.2554493575601222
Jani Hakanpaa,3,0.08319502370102594
Jani Nyman,5,0.34491516281633317
Janis Moser,10,0.542232030015754
Jansen Harkins,27,0.27724443454329867
Jared McCann,31,0.4034736762967571
Jared Spurgeon,31,0.286669820291198
Jaret Anderson-Dolan,10,0.24371160164181696
Jason Dickinson,29,0.15569442108014692
Jason Robertson,35,0.36437879543743373
Jason Zucker,32,0.5000826925217076
Jaxson Stauber,12,0.0842109613127464
Jaycob Megna,8,0.08421096131274637
Jayden Perron,1,0.08116314847758506
Jayden Struble,33,0.227175631977801
Jean-Gabriel Pageau,31,0.42530664093243253
Jeff Malott,7,0.22675768409140223
Jeff Petry,22,0.33461485859873785
Jeff Skinner,36,0.22883795023185488
Jeffrey Viel,4,0.08421096131274637
Jere Innala,8,0.08116314847758506
Jeremy Lauzon,14,0.2273459553061107
Jeremy Swayman,31,0.08352274551125835
Jesper Boqvist,36,0.15299997524381748
Jesper Bratt,34,0.4408186731973537
Jesper Fast,2,0.08116314847758506
Jesper Wallstedt,5,0.08482052387977865
Jesperi Kotkaniemi,36,0.3145639741320437
Jesse Kiiskinen,2,0.08116314847758506
Jesse Puljujärvi,24,0.18049623555244812
Jet Greaves,7,0.08377555947915191
Jett Luchanko,4,0.08421096131274639
Jimmy Schuldt,6,0.24268703519130352
Jimmy Snuggerud,6,0.3623713594656319
Jimmy Vesey,28,0.2873095470101414
Jiri Kulich,28,0.24376227418085977
Joakim Ryan,1,0.08116314847758506
Joe Snively,2,0.4600105732573614
Joe Veleno,33,0.26519987936619
Joel Armia,34,0.2687495661262359
Joel Blomqvist,14,0.08551716681352979
Joel Edmundson,34,0.21513433296857992
Joel Eriksson Ek,21,0.5243587668405804
Joel Farabee,33,0.21344211723413672
Joel Hanley,31,0.34354642059960333
Joel Hofer,34,0.11309796021827069
Joel Kiviranta,34,0.16484667403786893
Joey Anderson,16,0.14597681059138068
Joey Daccord,30,0.14952886398194826
John Beecher,32,0.2780951041294613
John Carlson,35,0.4563791632688814
John Gibson,27,0.11954074857595023
John Hayden,14,0.2826488944563321
John Klingberg,14,0.49477817056794265
John Ludvig,15,0.21873219025290938
John Marino,16,0.2272853310517375
John Tavares,34,0.5412024091272524
John Whipple,2,0.08116314847758506
Johnathan Kovacevic,34,0.21071183235218396
Jon Merrill,34,0.22357606436470392
Jonah Gadjovich,36,0.24908053073588876
Jonas Brodin,28,0.22660165592322043
Jonas Johansson,33,0.08467275113625569
Jonas Rondbjerg,10,0.08482052387977863
Jonas Siegenthaler,23,0.22450731281485387
Jonatan Berggren,32,0.26270051695831076
Jonathan Drouin,26,0.2927450225858138
Jonathan Huberdeau,32,0.49444254705686264
Jonathan Lekkerimaki,12,0.36535410379359395
Jonathan Marchessault,32,0.4444568386204988
Jonathan Quick,30,0.124678744041318
Jonny Brodzinski,31,0.2779463227455037
Joona Koppanen,6,0.2407302401356204
Joonas Korpisalo,32,0.08344900810395606
Jordan Binnington,34,0.08403167820479573
Jordan Eberle,18,0.5454006757010167
Jordan Greenway,21,0.19307157913794532
Jordan Harris,32,0.19220408122556756
Jordan Kyrou,34,0.5185411610826058
Jordan Martinook,36,0.4041009482735146
Jordan Oesterle,26,0.3899887361350729
Jordan Spence,34,0.2906051586514615
Jordan Staal,36,0.23915948485223282
Joseph Labate,3,0.13759541344800003
Joseph Woll,33,0.08430331927744825
Josh Anderson,34,0.24802869674793993
Josh Brown,10,0.17929660563988073
Josh Doan,20,0.2859175269728967
Josh Dunne,2,0.0872587741479077
Josh Filmon,2,0.0872587741479077
Josh Manson,29,0.2592921570735622
Josh Morrissey,36,0.41885774597304093
Josh Norris,32,0.17884928138800305
Joshua Mahura,30,0.33016674516038125
Joshua Roy,10,0.307485989821224
Josiah Slavin,1,0.0011842949923078772
Juha Jääskä,11,0.3728859811383206
Julien Gauthier,3,0.08522689892446683
Juraj Slafkovsky,34,0.4700941232030342
Justin Barron,32,0.2813106976826036
Justin Brazeau,35,0.19830528920509677
Justin Danforth,27,0.3002821685030951
Justin Dowling,30,0.31519038783309494
Justin Faulk,34,0.33537352069995624
Justin Holl,32,0.2884984813364422
Justin Hryckowian,3,0.331552878945009
Justin Kirkland,9,0.2972014325727969
Justin Poirier,1,0.08116314847758506
Justin Robidas,2,0.27501675700861783
Justus Annunen,32,0.08459193791714156
Juuse Saros,32,0.11509388595206355
Juuso Parssinen,33,0.2775483329421106
Juuso Valimaki,22,0.2401640204964749
K'Andre Miller,28,0.4627943046606641
Kaapo Kahkonen,4,0.08421096131274637
Kaapo Kakko,30,0.4098414305089721
Kaedan Korczak,35,0.256754907731625
Kaiden Guhle,33,0.18546749955506553
Kailer Yamamoto,9,0.15894496613364512
Karel Vejmelka,31,0.12627697382522957
Karsen Dorwart,3,0.08319502370102595
Kasperi Kapanen,37,0.24640405968714696
Keaton Middleton,24,0.15155737652652865
Keegan Kolesar,36,0.2540371345994552
Kent Johnson,30,0.5241718701067736
Kevin Bahl,30,0.22715240808829243
Kevin Bicker,2,0.08116314847758507
Kevin Fiala,34,0.49979641584697476
Kevin Gravel,3,0.12092260377653043
Kevin Hayes,31,0.2323767900718946
Kevin Korchinski,8,0.336983060427505
Kevin Labanc,22,0.1852646217879765
Kevin Lankinen,32,0.11335376025838312
Kevin Mandolese,2,0.08116314847758505
Kevin Rooney,30,0.304840959089429
Kevin Stenlund,32,0.35088978432631407
Kiefer Sherwood,31,0.4194724457103499
Kieffer Bellows,12,0.24273011361057684
Kienan Draper,2,0.08116314847758506
Kirby Dach,23,0.32760711286108
Kirill Kaprizov,20,0.6384951261613038
Kirill Marchenko,32,0.37019450415535404
Klim Kostin,26,0.3050575332768391
Kris Letang,33,0.3051476226725987
Kurtis MacDermid,34,0.0847488106365984
Kyle Aucoin,2,0.08116314847758506
Kyle Burroughs,34,0.18082620124831003
Kyle Capobianco,2,0.08116314847758506
Kyle Connor,36,0.7616164146947759
Kyle MacLean,31,0.3328475729132657
Kyle Palmieri,31,0.31690653716736333
Landon Slaggert,14,0.31087015838847737
Lane Hutson,34,0.5611973626916659
Larry Keenan,2,0.08116314847758507
Lars Eller,36,0.2764545361868228
Lawson Crouse,32,0.30511011752361855
Leevi Merilainen,11,0.08504218299506311
Leo Carlsson,32,0.5446429187728274
Leon Draisaitl,36,0.6234861982084032
Liam Dower Nilsson,2,0.08116314847758506
Liam Foudy,2,0.08116314847758505
Liam O'Brien,32,0.1726040714849829
Liam Ohgren,14,0.3703996034967597
Lian Bichsel,21,0.22105542917482748
Linus Karlsson,11,0.3112219746250782
Linus Ullmark,28,0.1568201576798268
Logan Cooley,31,0.5028644569526187
Logan Mailloux,4,0.4600105732573614
Logan O'Connor,34,0.37305530084883665
Logan Stankoven,35,0.476655130985832
Logan Stanley,32,0.23691788498385896
Logan Thompson,35,0.11111704716319949
Louis Crevier,23,0.19640522872530702
Louis Domingue,2,0.08725877414790771
Luca Cagnoni,4,0.35486873318621304
Luca Del Bel Belluz,6,0.4580640560829086
Lucas Carlsson,6,0.2598046285764888
Lucas Condotta,4,0.3312743584272836
Lucas Mercuri,1,0.08116314847758507
Lucas Raymond,32,0.4613553495802297
Lukas Cormier,3,0.08116314847758506
Lukas Dostal,32,0.08459193791714155
Lukas Reichel,32,0.22227700129485012
Luke Evangelista,30,0.4740025911976952
Luke Glendening,33,0.25872412701147257
Luke Hughes,31,0.32892664981258
Luke Kunin,33,0.21878016060323774
Luke Schenn,36,0.26949893634691857
MacKenzie Weegar,32,0.5232685537714232
Mackenzie Blackwood,35,0.11201137629224187
Mackie Samoskevich,35,0.24634908226583915
Macklin Celebrini,28,0.4136511761284935
Mads Sogaard,3,0.08319502370102598
Maksymilian Szuber,2,0.08725877414790775
Marat Khusnutdinov,30,0.275261300128064
Marc Del Gaizo,22,0.365720594251079
Marc Gatcomb,15,0.18229158839596682
Marc McLaughlin,11,0.2939630236086993
Marc-Andre Fleury,34,0.08403167820479572
Marc-Edouard Vlasic,17,0.24716967728246284
Marco Kasper,31,0.5217973717925417
Marco Rossi,34,0.4904810051181453
Marcus Foligno,34,0.33209082298938264
Marcus Hogberg,16,0.08421096131274639
Marcus Johansson,30,0.3806110321057013
Marcus Pettersson,31,0.3408648762116232
Mario Ferraro,32,0.26992959600189176
Mark Friedman,5,0.08482052387977865
Mark Jankowski,36,0.23597152894722376
Mark Kastelic,29,0.3703420480362703
Mark Scheifele,36,0.378508019279542
Mark Stone,33,0.43266601315030334
