name,n_test,mae
Conor Geekie,23,0.17971955920043198
Conor Sheary,4,0.0014145821332931519
Conor Timmins,32,0.25122185656800866
Corey Perry,36,0.42368202408154804
Corey Schueneman,4,0.2511564940214157
Craig Smith,28,0.07455877108233315
Cross Hanas,2,0.0009875372052192688
Curtis Lazar,30,0.16766709983348846
Cutter Gauthier,32,0.44746542209759355
Daemon Hunt,4,0.0013666972517967224
Dakota Joshua,22,0.13753412663936615
Dakota Mermis,11,0.09177117049694061
Dalibor Dvorsky,4,0.5072691664099693
Damon Severson,32,0.09326216764748096
Dan Vladar,31,0.03300521642931046
Daniel Sprong,24,0.20918046248455843
Daniil Miromanov,32,0.2507232967764139
Daniil Misyul,2,0.003951035439968109
Daniil Tarasov,32,0.03220841707661748
Danil Gushchin,7,1.0109860024281911
Dante Fabbro,33,0.32273338373863336
Danton Heinen,32,0.3487719390541315
Darcy Kuemper,31,0.033210062211559664
Darnell Nurse,36,0.19671738313304055
Darren Raddysh,33,0.3476852688825492
David Gustafsson,36,0.1962939351797104
David Jiricek,16,0.18835540767759085
David Kampf,32,0.06370032439008355
David Pastrnak,32,0.7884660474956036
David Perron,29,0.17449359493008976
David Rittich,34,0.0008473878397661097
David Savard,34,0.14862510211327495
Dawson Mercer,34,0.41316301156492796
Declan Carlile,3,0.002081543207168579
Declan Chisholm,34,0.11948608913842369
Dennis Cholowski,30,0.2678522696097692
Dennis Gilbert,34,0.17823246691156835
Dennis Hildeby,11,0.0005881610241803256
Denton Mateychuk,20,0.2493900887668133
Derek Forbort,28,0.21551205696804182
Derek Ryan,24,0.20940879049400488
Devin Shore,25,0.20083806097507476
Devon Levi,8,0.00045233219861984253
Devon Toews,34,0.47390370509203744
Dmitri Buchelnikov,2,0.0009875372052192688
Dmitri Voronkov,29,0.5362602364400337
Dmitry Kulikov,36,0.1399501764939891
Dmitry Orlov,36,0.2233844217326906
Domenick Fensore,2,0.0010438933968544006
Dominic Toninato,10,0.0006930887699127197
Dominik Shine,8,0.1262303777039051
Donovan Sebrango,5,0.40607589185237886
Dougie Hamilton,34,0.30057644624920454
Drake Batherson,34,0.5084191365715336
Drake Caggiula,4,0.2511346973478794
Drew Commesso,4,0.0014313161373138428
Drew Doughty,16,0.3792113484814763
Drew Helleson,26,0.19654214525452027
Drew O'Connor,34,0.15149000330882914
Dryden Hunt,10,0.30101545304059985
Dustin Tokarski,8,0.0010622628033161163
Dustin Wolf,31,0.09740764383346803
Dylan Coghlan,20,0.00024323463439941407
Dylan Cozens,34,0.5057918769033516
Dylan DeMelo,36,0.11367592877811855
Dylan Gambrell,3,0.0012166500091552734
Dylan Guenther,28,0.30310765334538053
Dylan Holloway,34,0.16681730528088176
Dylan James,2,0.0009875372052192688
Dylan Larkin,32,0.4546540188603103
Dylan McIlrath,35,0.05937831082514354
Dylan Samberg,29,0.13928734742361923
Dylan Strome,35,0.4040283963084221
Dysin Mayo,3,0.0008666266997655233
Eeli Tolvanen,31,0.35347254886742563
Eemil Viro,2,0.0009875372052192688
Eetu Luostarinen,36,0.2242966043866343
Egor Zamula,31,0.1630329071514068
Elias Lindholm,32,0.6579153975471854
Elias Nils Pettersson,14,0.2152367468391146
Elias Pettersson,31,0.2680576462899485
Elias Salomonsson,5,0.0006669014692306519
Elmer Soderblom,15,0.06806901494661967
Elvis Merzlikins,32,0.032821803353726864
Emil Andrae,20,0.31287037432193754
Emil Bemstrom,9,0.111753116051356
Emil Heineman,32,0.06455948064103723
Emil Lilleberg,33,0.12242813950235193
Eric Comrie,35,0.0010758612837110247
Eric Robinson,36,0.32521342610319454
Erik Brannstrom,16,0.18967949133366346
Erik Cernak,33,0.0914793714429393
Erik Gudbranson,8,0.1261164676398039
Erik Gustafsson,32,0.0017155800014734268
Erik Haula,31,0.2025333368970502
Erik Johnson,34,0.1780354406903772
Erik Karlsson,33,0.36934100497852673
Erik Portillo,2,0.0015257969498634338
Esa Lindell,35,0.11405281914131982
