name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Ben Jones,14,0.08290475581196297,14,0.00045865880591528755,0.08244609700604767,DSS
Ben Meyers,5,0.08482052387977863,5,0.0008265793323516846,0.08399394454742695,DSS
Blake Coleman,32,0.4136352587778627,32,0.41275928216055036,0.0008759766173123684,DSS
Blake Lizotte,27,0.21632705290878088,27,0.15226047237714133,0.06406658053163955,DSS
Bo Horvat,31,0.40879740742354637,31,0.3968356763643603,0.011961731059186076,DSS
Bobby Brink,32,0.4791588993106607,32,0.5546943026129156,-0.07553540330225494,RF
Bobby McMann,33,0.2335333853348855,33,0.24115796387195587,-0.007624578537070381,RF
Bokondji Imama,13,0.23996439002553654,13,0.1553727904191384,0.08459159960639814,DSS
Boone Jenner,12,0.40290014303516136,12,0.3444829111297925,0.05841723190536885,DSS
Bowen Byram,32,0.31311984894288614,32,0.3158666556701064,-0.0027468067272202745,RF
Brad Lambert,5,0.5824622386730269,5,0.5982591688632966,-0.01579693019026962,RF
Brad Marchand,36,0.48043388739986637,36,0.5287229644341601,-0.04828907703429375,RF
Braden Schneider,31,0.24939947774847812,31,0.1960242731917289,0.05337520455674921,DSS
Bradly Nadeau,2,0.3190635992154956,2,0.4993992820382118,-0.18033568282271623,RF
Brady Cleveland,2,0.08116314847758506,2,0.0009875372052192688,0.08017561127236579,DSS
Brady Skjei,32,0.42604185291554736,32,0.44134898064658046,-0.015307127731033099,RF
Brady Tkachuk,34,0.4242921613070596,34,0.5042811732958344,-0.07998901198877484,RF
Brandon Carlo,37,0.2770559792197525,37,0.218310259483956,0.05874571973579651,DSS
Brandon Duhaime,35,0.2662027417560823,35,0.20329851508140565,0.06290422667467663,DSS
Brandon Hagel,33,0.3925754423683403,33,0.3774642479239088,0.015111194444431486,DSS
Brandon Halverson,2,0.08725877414790775,2,0.0015181303024291992,0.08574064384547855,DSS
Brandon Montour,31,0.46235191604758547,31,0.5290639595158638,-0.06671204346827836,RF
Brandon Saad,34,0.17188963356851486,34,0.11165058262207929,0.06023905094643557,DSS
Brandon Tanev,35,0.18452868658184574,35,0.06002813045467649,0.12450055612716925,DSS
Brandt Clarke,34,0.27233728711953153,34,0.2988581043832442,-0.026520817263712693,RF
Brayden McNabb,36,0.24844915605268744,36,0.18954085889789793,0.05890829715478951,DSS
Brayden Pachal,32,0.376952200025106,32,0.3471080372110009,0.02984416281410507,DSS
Brayden Point,33,0.4259260985001713,33,0.37919898556940485,0.04672711293076648,DSS
Brayden Schenn,34,0.42667966058763557,34,0.4439672446426223,-0.01728758405498676,RF
Brayden Yager,3,0.08116314847758507,3,0.0010666499535242717,0.0800964985240608,DSS
Braydon McCallum,1,0.08116314847758506,1,0.001263052225112915,0.07990009625247214,DSS
Brendan Brisson,6,0.08116314847758506,6,0.0005482956767082214,0.08061485280087684,DSS
Brendan Gallagher,34,0.37172980726061117,34,0.4114912470035693,-0.03976143974295815,RF
Brendan Gaunce,14,0.1516631602494651,14,0.07189454776900155,0.07976861248046356,DSS
Brendan Lemieux,2,0.20580097267584618,2,0.0019648373126983643,0.20383613536314782,DSS
Brendan Smith,35,0.22808947975465704,35,0.1845485670225961,0.043540912732060955,DSS
Brenden Dillon,34,0.1712692530737714,34,0.08897164157208275,0.08229761150168864,DSS
Brennan Ali,2,0.08116314847758505,2,0.0009875372052192688,0.08017561127236578,DSS
Brennan Othmann,10,0.2813837944544165,10,0.20084008127450942,0.0805437131799071,DSS
Brent Burns,36,0.2975643478372672,36,0.25286174275808865,0.04470260507917856,DSS
Brett Berard,17,0.3596055912881652,17,0.29875294425908255,0.06085264702908266,DSS
Brett Howden,36,0.35308743022399347,36,0.30448678673969376,0.04860064348429971,DSS
Brett Kulak,36,0.23003471040617773,36,0.08812357981999715,0.1419111305861806,DSS
Brett Leason,32,0.3440430607061156,32,0.2546225436963141,0.08942051700980153,DSS
Brett Murray,2,0.08116314847758507,2,0.00048600882291793823,0.08067713965466713,DSS
Brett Pesce,31,0.27511702294459245,31,0.1969871804598839,0.07812984248470856,DSS
Brian Dumoulin,34,0.23414792868961082,34,0.1485274960012997,0.08562043268831113,DSS
Brian Halonen,5,0.08482052387977865,5,0.0010980933904647828,0.08372243048931387,DSS
Brock Boeser,32,0.4572833149059357,32,0.43826215201988816,0.01902116288604755,DSS
Brock Faber,34,0.17068596228576957,34,0.09300516392378246,0.07768079836198712,DSS
Brock McGinn,12,0.2093795492803466,12,0.08376349384586017,0.12561605543448645,DSS
Brock Nelson,33,0.4256670949058873,33,0.46241743794896384,-0.03675034304307656,RF
Brogan Rafferty,2,0.08116314847758506,2,0.001223348081111908,0.07993980039647315,DSS
Bryan Rust,30,0.6809895738933874,30,0.5839455599586169,0.09704401393477058,DSS
Bryce Montgomery,1,0.08116314847758506,1,0.001263052225112915,0.07990009625247214,DSS
Cade Webber,3,0.08116314847758506,3,0.0009982983271280925,0.08016485015045696,DSS
Cale Fleury,13,0.15812044384672302,13,0.07709299944914304,0.08102744439757999,DSS
Cale Makar,34,0.439795869994301,34,0.32845445809995427,0.11134141189434671,DSS
